,size_bytes,height,width,framespersecond,duration,i_frame,b_frame,p_frame,channel_s,frame_count,proportion_of_this_stream,stream_size,len_text,bit_rate_mode_cbr,bit_rate_mode_vbr,channel_layout_c,channel_layout_l_r,channel_positions_front_c,channel_positions_front_l_r,other_bit_rate_mode_constant,other_bit_rate_mode_variable,bitrate
0,125469259.0,144.0,256.0,25,5202.64,2255,64571,63240,2,224065,0.66347,83244466,6395,1,0,0,1,0,1,1,0,192
1,156812882.0,240.0,426.0,23,6375.608695652174,2536,70413,73690,2,263400,0.6240399999999999,97858176,12299,1,0,0,1,0,1,1,0,205
2,518875095.0,546.0,1280.0,24,4836.0,2185,63281,50598,2,208270,0.14912,77376319,11292,0,1,0,1,0,1,0,1,858
3,520279708.0,546.0,1280.0,24,4836.0,2185,63281,50598,2,208273,0.14872,77377433,11289,1,0,0,1,0,1,1,0,860
4,282485177.0,342.0,640.0,24,5006.916666666667,1864,79409,38893,2,215632,0.2127,60083583,11336,0,1,0,1,0,1,0,1,451
5,676833563.0,532.0,1280.0,25,5195.32,2909,69455,57519,2,223749,0.12282,83127066,6843,1,0,0,1,0,1,1,0,1042
6,8765939.0,240.0,426.0,25,311.32,112,4049,3622,2,13410,0.56834,4982073,1326,1,0,0,1,0,1,1,0,225
7,13258183.0,240.0,426.0,25,311.32,111,4378,3294,2,13410,0.37577,4982073,1326,1,0,0,1,0,1,1,0,340
8,13227320.0,240.0,426.0,25,311.32,107,4216,3460,2,13410,0.37665,4982073,1574,1,0,0,1,0,1,1,0,339
9,12079129.0,240.0,426.0,25,311.32,104,4438,3241,2,13410,0.41245,4982073,1016,1,0,0,1,0,1,1,0,310
10,11724849.0,240.0,426.0,25,311.32,93,5060,2630,2,13410,0.42492,4982073,636,1,0,0,1,0,1,1,0,301
11,12086936.0,240.0,426.0,25,311.32,107,4675,3001,2,13410,0.41219,4982073,1389,1,0,0,1,0,1,1,0,310
12,53017451.0,720.0,1280.0,25,311.32,117,2263,5403,2,13410,0.09397,4982073,1326,1,0,0,1,0,1,1,0,1362
